,request_id,dish_type_id,dish_id,dish_name,dish_description,dish_price_value,dish_total_like,dish_is_available,dish_type_name,option_id,option_min_select,option_max_select,item_id,item_name,item_price
108,725868,1404351,12734953,SaBo Dầm Ly Lớn,,35000.0,1,True,TRÁI CÂY DẦM,,,,,,
109,725868,1404351,67875631,Dưa gang dầm - Ly lớn,,35000.0,2,True,TRÁI CÂY DẦM,,,,,,
110,725868,1404351,16464841,Đu đủ  dầm ly lớn,,35000.0,1,True,TRÁI CÂY DẦM,,,,,,
111,725868,1720182,15436343,Sinh tố Dâu Ly lớn ,,45000.0,2,True,SINH TỐ BƠ LY LỚN,,,,,,
112,725868,1720182,15435990,SINH TỐ BƠ LY LỚN,,50000.0,0,True,SINH TỐ BƠ LY LỚN,,,,,,
113,725868,2909697,2011782,Ổi Ép,,16000.0,10+,True,NƯỚC ÉP ỔI,,,,,,
114,725868,2909697,12124414,Chai Ổi Nguyên Chất,"Không đá, không dườngd",30000.0,10+,True,NƯỚC ÉP ỔI,,,,,,
115,725868,2909697,12037459,Ổi +Cóc,,20000.0,4,True,NƯỚC ÉP ỔI,,,,,,
116,725868,2909697,48461208,Ổi +Sơri,,20000.0,4,True,NƯỚC ÉP ỔI,,,,,,
117,725868,2909697,15436084,Ổi Ly Lớn,,30000.0,2,True,NƯỚC ÉP ỔI,,,,,,
118,725868,2909697,46180774,Ổi +Thơm,,20000.0,1,True,NƯỚC ÉP ỔI,,,,,,
119,725868,2909697,51853754,Ổi +Táo +Thơm Ly Lớn,,35000.0,0,True,NƯỚC ÉP ỔI,,,,,,
120,725868,2909697,51853725,Ổi +Táo +Thơm,,20000.0,1,True,NƯỚC ÉP ỔI,,,,,,
121,725868,2909697,48461209,Ổi +Táo,,20000.0,2,True,NƯỚC ÉP ỔI,,,,,,
122,725868,2909697,46180785,Chai Ổi +Thơm Nguyên Chất,Nguyên chất không đường không đas,35000.0,1,True,NƯỚC ÉP ỔI,,,,,,
